INSERT INTO Cars (Id, Model, Brand) VALUES
(7, '2021-03-16 12:00:00', 1861393),
(6, '2019-09-19 12:00:00', 1905338),
(19, '2024-01-23 12:00:00', 817753),
(13, '2024-12-06 12:00:00', 2824117),
(15, '2024-10-20 12:00:00', 2646907),
(13, '2023-07-23 12:00:00', 1944029),
(20, '2023-08-16 12:00:00', 2632336),
(3, '2019-12-03 12:00:00', 2869741),
(8, '2022-11-10 12:00:00', 2968724),
(19, '2019-04-14 12:00:00', 1433364),
(12, '2021-03-13 12:00:00', 1473892),
(14, '2022-08-29 12:00:00', 1336293),
(9, '2023-05-22 12:00:00', 1415139),
(19, '2021-03-11 12:00:00', 2365386),
(5, '2023-09-05 12:00:00', 2446733),
(12, '2020-10-02 12:00:00', 1781696),
(20, '2020-09-21 12:00:00', 715487),
(6, '2019-05-28 12:00:00', 981048),
(18, '2020-02-08 12:00:00', 1596264),
(16, '2024-01-24 12:00:00', 1695858),
(3, '2021-05-22 12:00:00', 1740881),
(16, '2022-12-10 12:00:00', 863737),
(2, '2019-01-19 12:00:00', 1273776),
(5, '2022-10-09 12:00:00', 2026126),
(19, '2019-12-01 12:00:00', 2221629),
(18, '2024-09-08 12:00:00', 935581),
(14, '2020-04-16 12:00:00', 2328110),
(3, '2019-08-12 12:00:00', 777316),
(9, '2024-06-10 12:00:00', 1036012),
(9, '2024-03-09 12:00:00', 604872),
(8, '2019-07-22 12:00:00', 2392618),
(15, '2021-01-10 12:00:00', 979783),
(11, '2020-06-25 12:00:00', 2343303),
(9, '2023-11-25 12:00:00', 1435360),
(17, '2022-09-04 12:00:00', 584712),
(19, '2019-10-06 12:00:00', 1392585),
(10, '2022-04-16 12:00:00', 1047433),
(13, '2022-08-14 12:00:00', 1662472),
(10, '2023-04-24 12:00:00', 918740),
(8, '2022-08-04 12:00:00', 2831582),
(7, '2020-02-08 12:00:00', 2704731),
(18, '2019-03-29 12:00:00', 999589),
(6, '2024-08-24 12:00:00', 1708392),
(1, '2019-02-04 12:00:00', 1284663),
(16, '2019-05-17 12:00:00', 2487043),
(14, '2021-05-02 12:00:00', 2825515),
(17, '2022-03-01 12:00:00', 1110094),
(17, '2022-10-23 12:00:00', 2690288),
(15, '2021-07-07 12:00:00', 949326),
(6, '2019-07-05 12:00:00', 2187499),
(10, '2024-05-02 12:00:00', 2739358),
(7, '2024-08-06 12:00:00', 1511265),
(10, '2019-07-30 12:00:00', 2718181),
(5, '2019-08-24 12:00:00', 1196568),
(18, '2023-08-01 12:00:00', 560076),
(3, '2021-09-22 12:00:00', 2726988),
(15, '2021-05-23 12:00:00', 1694704),
(19, '2022-09-08 12:00:00', 1094682),
(9, '2022-06-10 12:00:00', 1677409),
(13, '2022-12-03 12:00:00', 1890896),
(2, '2024-06-26 12:00:00', 1771865),
(4, '2022-05-05 12:00:00', 2477795),
(3, '2022-03-24 12:00:00', 2807275),
(10, '2023-06-15 12:00:00', 2609445),
(1, '2023-12-05 12:00:00', 630605),
(9, '2024-03-02 12:00:00', 1945079),
(10, '2024-11-11 12:00:00', 1974569),
(20, '2021-07-29 12:00:00', 1084576),
(17, '2022-01-02 12:00:00', 2172754),
(8, '2019-01-04 12:00:00', 933084),
(8, '2019-12-01 12:00:00', 1175413),
(9, '2021-04-12 12:00:00', 2904330),
(7, '2023-01-05 12:00:00', 2349321),
(12, '2019-01-12 12:00:00', 1430633),
(1, '2019-02-20 12:00:00', 1226055),
(16, '2021-05-18 12:00:00', 2924452),
(17, '2020-09-13 12:00:00', 2603317),
(12, '2022-07-02 12:00:00', 1541995),
(16, '2020-05-05 12:00:00', 2226870),
(3, '2020-10-14 12:00:00', 1132736),
(12, '2020-01-09 12:00:00', 2728336),
(8, '2021-09-18 12:00:00', 2947457),
(6, '2022-09-20 12:00:00', 1444749),
(5, '2020-03-25 12:00:00', 861479),
(14, '2021-10-30 12:00:00', 1831585),
(4, '2019-10-17 12:00:00', 545902),
(19, '2024-02-28 12:00:00', 1567390),
(8, '2022-08-11 12:00:00', 696112),
(15, '2022-12-18 12:00:00', 520095),
(15, '2022-11-19 12:00:00', 843784),
(6, '2020-07-24 12:00:00', 2308628),
(20, '2019-07-25 12:00:00', 1252264),
(8, '2019-06-09 12:00:00', 1668951),
(1, '2021-03-26 12:00:00', 2169551),
(18, '2024-11-03 12:00:00', 1547700),
(11, '2022-04-28 12:00:00', 1579299),
(8, '2024-02-04 12:00:00', 2132761),
(8, '2021-12-25 12:00:00', 667079),
(3, '2024-09-07 12:00:00', 1329670),
(20, '2021-10-08 12:00:00', 676184),
(2, '2022-04-27 12:00:00', 598693),
(4, '2021-06-21 12:00:00', 2470266),
(15, '2023-07-26 12:00:00', 1527100),
(2, '2021-05-08 12:00:00', 1121259),
(10, '2023-07-29 12:00:00', 2351314),
(17, '2020-03-16 12:00:00', 941558),
(4, '2024-11-22 12:00:00', 1342507),
(20, '2023-09-26 12:00:00', 2040495),
(17, '2022-11-12 12:00:00', 1599962),
(6, '2022-04-02 12:00:00', 1800907),
(4, '2023-04-21 12:00:00', 580420),
(10, '2024-04-10 12:00:00', 2002811),
(7, '2020-10-20 12:00:00', 1475375),
(16, '2022-01-11 12:00:00', 814135),
(1, '2019-08-24 12:00:00', 2883461),
(12, '2020-06-25 12:00:00', 738158),
(3, '2021-11-26 12:00:00', 2028492),
(5, '2024-02-26 12:00:00', 2233506),
(14, '2020-02-26 12:00:00', 1473580),
(15, '2024-07-07 12:00:00', 831478),
(4, '2022-10-16 12:00:00', 1145478),
(17, '2023-01-28 12:00:00', 2289025),
(11, '2022-08-27 12:00:00', 2211505),
(17, '2024-04-11 12:00:00', 1722896),
(2, '2023-11-06 12:00:00', 1595951),
(20, '2024-12-22 12:00:00', 2567778),
(20, '2019-08-14 12:00:00', 942885),
(15, '2021-08-22 12:00:00', 2456610),
(5, '2024-07-24 12:00:00', 2722034),
(7, '2019-01-21 12:00:00', 1632743),
(8, '2019-01-19 12:00:00', 1382378),
(6, '2021-10-12 12:00:00', 810358),
(18, '2023-02-26 12:00:00', 1000408),
(20, '2024-12-10 12:00:00', 1612328),
(19, '2024-01-13 12:00:00', 2861286),
(18, '2024-02-22 12:00:00', 1139055),
(19, '2023-03-13 12:00:00', 1853052),
(16, '2024-06-18 12:00:00', 2044026),
(3, '2023-06-07 12:00:00', 1558326),
(5, '2019-10-02 12:00:00', 1744466),
(4, '2019-10-16 12:00:00', 1893362),
(18, '2021-08-05 12:00:00', 1489524),
(16, '2023-08-06 12:00:00', 1501655),
(12, '2021-01-07 12:00:00', 1182274),
(16, '2020-12-30 12:00:00', 2912407),
(13, '2023-04-09 12:00:00', 2367845),
(9, '2024-08-15 12:00:00', 848867),
(2, '2019-10-17 12:00:00', 2064911),
(7, '2022-03-21 12:00:00', 1886368),
(11, '2022-09-06 12:00:00', 1615459),
(19, '2019-05-04 12:00:00', 1461699),
(20, '2023-03-30 12:00:00', 2486336),
(15, '2020-01-28 12:00:00', 2010656),
(12, '2019-06-09 12:00:00', 1355454),
(19, '2023-01-25 12:00:00', 633879),
(12, '2020-06-02 12:00:00', 2458227),
(17, '2023-05-11 12:00:00', 1175738),
(11, '2019-02-24 12:00:00', 1383821),
(7, '2021-04-14 12:00:00', 990293),
(8, '2023-11-10 12:00:00', 983033),
(18, '2024-12-13 12:00:00', 969821),
(16, '2024-08-27 12:00:00', 2433550),
(4, '2022-12-03 12:00:00', 2974021),
(1, '2019-06-05 12:00:00', 2691608),
(20, '2024-04-20 12:00:00', 1162935),
(14, '2022-08-27 12:00:00', 1131360),
(7, '2021-11-06 12:00:00', 2860641),
(19, '2024-01-05 12:00:00', 1004019),
(12, '2020-05-26 12:00:00', 2989139),
(3, '2024-09-06 12:00:00', 1661910),
(13, '2020-11-23 12:00:00', 1697036),
(18, '2022-02-04 12:00:00', 1749097),
(16, '2024-01-11 12:00:00', 2345700),
(1, '2020-11-02 12:00:00', 1766480),
(10, '2023-09-16 12:00:00', 917819),
(7, '2020-11-18 12:00:00', 2518423),
(15, '2021-10-05 12:00:00', 1028525),
(9, '2024-03-23 12:00:00', 1620502),
(16, '2022-01-06 12:00:00', 2443808),
(11, '2020-09-24 12:00:00', 1718422),
(20, '2021-11-01 12:00:00', 2547223),
(11, '2024-04-20 12:00:00', 1231556),
(20, '2021-05-22 12:00:00', 2058260),
(6, '2020-06-06 12:00:00', 1630508),
(11, '2023-11-10 12:00:00', 2718966),
(6, '2024-05-06 12:00:00', 1798362),
(19, '2022-12-02 12:00:00', 990594),
(19, '2024-12-13 12:00:00', 2325354),
(20, '2024-08-13 12:00:00', 1181972),
(14, '2021-10-26 12:00:00', 1264210),
(9, '2022-08-25 12:00:00', 1718518),
(16, '2022-04-27 12:00:00', 2014059),
(4, '2022-10-21 12:00:00', 1761287),
(2, '2024-03-27 12:00:00', 2971230),
(17, '2021-09-09 12:00:00', 2710132),
(3, '2024-06-21 12:00:00', 2678229),
(8, '2019-04-09 12:00:00', 810593),
(5, '2023-02-27 12:00:00', 1727322),
(8, '2021-04-17 12:00:00', 520300),
(15, '2023-10-30 12:00:00', 2048725),
(7, '2021-01-30 12:00:00', 2379492),
(9, '2023-03-30 12:00:00', 1900943),
(6, '2023-07-16 12:00:00', 2327672),
(10, '2020-09-26 12:00:00', 909860),
(11, '2019-02-17 12:00:00', 675426),
(18, '2019-07-03 12:00:00', 2651696),
(14, '2019-01-23 12:00:00', 2938745),
(8, '2021-03-06 12:00:00', 2666150),
(18, '2021-10-21 12:00:00', 2444931),
(19, '2024-05-09 12:00:00', 2980664),
(3, '2019-12-14 12:00:00', 2594682),
(9, '2019-04-12 12:00:00', 2548105),
(17, '2021-12-08 12:00:00', 1767749),
(16, '2024-12-11 12:00:00', 1823787),
(14, '2020-04-20 12:00:00', 2222173),
(9, '2019-05-28 12:00:00', 2215092),
(8, '2019-12-13 12:00:00', 1072679),
(5, '2024-01-20 12:00:00', 760182),
(9, '2022-06-06 12:00:00', 870801),
(18, '2024-01-22 12:00:00', 1329709),
(7, '2021-10-05 12:00:00', 2307967),
(20, '2024-10-03 12:00:00', 1440848),
(5, '2019-01-10 12:00:00', 2026585),
(1, '2019-11-09 12:00:00', 1325659),
(10, '2022-02-20 12:00:00', 1470252),
(14, '2019-10-16 12:00:00', 934966),
(10, '2019-06-10 12:00:00', 905428),
(20, '2021-04-14 12:00:00', 2909332),
(6, '2024-06-08 12:00:00', 2278434),
(6, '2023-06-15 12:00:00', 909858),
(11, '2023-07-07 12:00:00', 932840),
(8, '2020-04-11 12:00:00', 1062613),
(14, '2020-02-28 12:00:00', 1019984),
(10, '2024-05-14 12:00:00', 2378753),
(14, '2020-03-12 12:00:00', 1159987),
(8, '2020-11-20 12:00:00', 1757396),
(19, '2020-06-03 12:00:00', 1726473),
(5, '2024-12-11 12:00:00', 1273920),
(14, '2024-11-26 12:00:00', 1895297),
(12, '2019-04-29 12:00:00', 2396211),
(19, '2019-12-06 12:00:00', 1822734),
(7, '2022-01-27 12:00:00', 2899607),
(15, '2020-05-25 12:00:00', 2019532),
(17, '2023-05-06 12:00:00', 669255),
(12, '2022-09-29 12:00:00', 1790410),
(14, '2019-03-11 12:00:00', 694901),
(13, '2022-11-25 12:00:00', 2793920),
(7, '2019-06-19 12:00:00', 805075),
(15, '2019-12-19 12:00:00', 2831517),
(2, '2020-02-23 12:00:00', 2434987),
(2, '2024-04-08 12:00:00', 1528321),
(2, '2019-11-07 12:00:00', 1077846),
(11, '2020-08-15 12:00:00', 1903436),
(17, '2022-04-02 12:00:00', 2716738),
(4, '2020-12-21 12:00:00', 766882),
(19, '2019-04-12 12:00:00', 825228),
(18, '2020-02-18 12:00:00', 539776),
(5, '2020-02-16 12:00:00', 1385954),
(11, '2020-06-25 12:00:00', 1302619),
(20, '2024-09-21 12:00:00', 2692910),
(16, '2021-09-25 12:00:00', 1302001),
(8, '2022-12-30 12:00:00', 554833),
(20, '2023-02-04 12:00:00', 1975441),
(9, '2019-04-24 12:00:00', 2152786),
(6, '2020-10-14 12:00:00', 2649627),
(10, '2023-12-06 12:00:00', 1348812),
(8, '2021-05-24 12:00:00', 1758584),
(16, '2019-02-24 12:00:00', 2616612),
(10, '2019-09-16 12:00:00', 537941),
(2, '2022-07-14 12:00:00', 2128323),
(8, '2024-01-01 12:00:00', 1375135),
(11, '2021-03-24 12:00:00', 1838744),
(11, '2022-12-03 12:00:00', 1932716),
(12, '2020-05-12 12:00:00', 1828069),
(3, '2022-09-26 12:00:00', 2504596),
(14, '2021-10-04 12:00:00', 2884946),
(14, '2022-04-11 12:00:00', 1185897),
(18, '2022-11-14 12:00:00', 1591285),
(9, '2020-04-20 12:00:00', 2243959),
(5, '2024-02-07 12:00:00', 1543171),
(17, '2021-02-04 12:00:00', 1069893),
(9, '2023-08-10 12:00:00', 2603633),
(11, '2020-01-19 12:00:00', 1735827),
(17, '2022-05-14 12:00:00', 981466),
(10, '2022-02-16 12:00:00', 2536464),
(4, '2019-08-16 12:00:00', 530038),
(2, '2024-02-19 12:00:00', 1382952),
(18, '2023-04-27 12:00:00', 2895907),
(3, '2020-03-08 12:00:00', 2135052),
(6, '2019-09-26 12:00:00', 665895),
(9, '2019-06-19 12:00:00', 2142859),
(5, '2019-07-09 12:00:00', 987388),
(14, '2023-09-13 12:00:00', 736216),
(17, '2020-03-21 12:00:00', 2313534),
(4, '2022-08-20 12:00:00', 2194790),
(11, '2022-09-21 12:00:00', 1306850),
(6, '2023-04-08 12:00:00', 1897016),
(2, '2024-09-09 12:00:00', 2012533),
(14, '2021-01-04 12:00:00', 790801),
(7, '2021-05-21 12:00:00', 1668518),
(1, '2024-05-21 12:00:00', 1193212),
(18, '2019-05-13 12:00:00', 1049800),
(14, '2019-05-06 12:00:00', 938085),
(2, '2021-01-27 12:00:00', 832462),
(16, '2023-09-15 12:00:00', 1044902),
(5, '2023-11-27 12:00:00', 2759394),
(19, '2022-09-22 12:00:00', 2040568),
(11, '2021-01-27 12:00:00', 1012128),
(6, '2023-07-14 12:00:00', 1872836),
(2, '2020-05-11 12:00:00', 1214052),
(5, '2021-11-23 12:00:00', 2879472),
(4, '2020-11-01 12:00:00', 1671553),
(12, '2020-07-11 12:00:00', 880108),
(12, '2021-05-26 12:00:00', 1877173),
(12, '2024-08-11 12:00:00', 2980730),
(9, '2020-05-09 12:00:00', 2166661),
(1, '2022-05-07 12:00:00', 836332),
(10, '2021-09-20 12:00:00', 1566983),
(19, '2019-09-17 12:00:00', 1880442),
(2, '2019-08-04 12:00:00', 2217916),
(3, '2022-03-29 12:00:00', 1725488),
(8, '2019-08-16 12:00:00', 1843481),
(1, '2024-09-16 12:00:00', 1827342),
(2, '2020-05-27 12:00:00', 2019145),
(14, '2023-08-21 12:00:00', 1592090),
(14, '2024-11-19 12:00:00', 2005836),
(17, '2019-10-20 12:00:00', 1403179),
(7, '2022-05-05 12:00:00', 1440240),
(1, '2023-01-04 12:00:00', 1613987),
(1, '2019-12-23 12:00:00', 2833995),
(3, '2023-12-11 12:00:00', 1158300),
(10, '2022-03-23 12:00:00', 1544369),
(10, '2020-06-27 12:00:00', 549519),
(16, '2020-05-23 12:00:00', 1417523),
(10, '2023-12-23 12:00:00', 2944915),
(15, '2024-10-04 12:00:00', 2514513),
(13, '2019-11-10 12:00:00', 1151679),
(16, '2023-06-05 12:00:00', 1459219),
(1, '2019-05-09 12:00:00', 1502391),
(3, '2024-03-14 12:00:00', 2418896),
(18, '2022-01-18 12:00:00', 1273708),
(14, '2023-02-17 12:00:00', 1944152),
(7, '2024-08-28 12:00:00', 2629079),
(5, '2021-11-14 12:00:00', 665840),
(3, '2024-07-12 12:00:00', 1669709),
(9, '2019-10-24 12:00:00', 1870770),
(8, '2023-05-09 12:00:00', 2205321),
(20, '2021-06-04 12:00:00', 2953899),
(20, '2023-06-16 12:00:00', 2727380),
(1, '2020-05-03 12:00:00', 2853334),
(20, '2023-05-26 12:00:00', 2533638),
(2, '2022-06-10 12:00:00', 890156),
(3, '2021-04-10 12:00:00', 1866947),
(15, '2020-12-30 12:00:00', 1992636),
(13, '2019-12-18 12:00:00', 821372),
(16, '2020-04-22 12:00:00', 1689952),
(8, '2019-10-11 12:00:00', 1103850),
(1, '2022-05-19 12:00:00', 1929493),
(15, '2023-04-16 12:00:00', 1750732),
(13, '2020-04-29 12:00:00', 587745),
(7, '2022-09-11 12:00:00', 2236777),
(5, '2021-10-08 12:00:00', 1582262),
(7, '2024-02-14 12:00:00', 2517465),
(4, '2021-02-20 12:00:00', 911843),
(19, '2022-11-01 12:00:00', 891310),
(18, '2024-10-16 12:00:00', 2839126),
(12, '2020-01-25 12:00:00', 1325082),
(9, '2020-03-06 12:00:00', 2033492),
(4, '2021-07-30 12:00:00', 1121471),
(16, '2020-10-26 12:00:00', 1198564),
(5, '2022-08-21 12:00:00', 2413342),
(18, '2019-09-26 12:00:00', 2116982),
(3, '2024-09-03 12:00:00', 2286829),
(6, '2024-09-03 12:00:00', 1294091),
(8, '2022-03-03 12:00:00', 1348119),
(2, '2023-03-27 12:00:00', 696182),
(12, '2019-06-20 12:00:00', 552265),
(2, '2024-11-02 12:00:00', 1140559),
(3, '2024-01-25 12:00:00', 2588659),
(6, '2024-08-27 12:00:00', 829039),
(14, '2024-05-22 12:00:00', 1765368),
(13, '2024-05-12 12:00:00', 1821060),
(20, '2023-05-19 12:00:00', 2032124),
(16, '2019-12-17 12:00:00', 1957984),
(11, '2023-11-17 12:00:00', 2048361),
(15, '2021-11-05 12:00:00', 2923176),
(18, '2024-08-11 12:00:00', 2057189),
(5, '2019-06-24 12:00:00', 1253044),
(17, '2020-04-05 12:00:00', 1590859),
(13, '2019-11-19 12:00:00', 2201927),
(17, '2020-02-21 12:00:00', 1025592),
(15, '2024-11-10 12:00:00', 978404),
(16, '2022-07-02 12:00:00', 1025960),
(17, '2024-02-06 12:00:00', 1577705),
(11, '2021-06-06 12:00:00', 2449837),
(6, '2020-05-19 12:00:00', 1440548),
(17, '2023-10-16 12:00:00', 1241378),
(8, '2023-09-19 12:00:00', 611728),
(7, '2023-08-27 12:00:00', 2678623),
(15, '2020-04-18 12:00:00', 1582689),
(20, '2023-04-04 12:00:00', 2127610),
(19, '2023-05-24 12:00:00', 1344379),
(6, '2024-08-02 12:00:00', 1953964),
(2, '2021-09-05 12:00:00', 521867),
(9, '2021-07-22 12:00:00', 2640018),
(15, '2019-10-29 12:00:00', 2048217),
(12, '2022-06-24 12:00:00', 2881494),
(9, '2022-07-24 12:00:00', 884220),
(17, '2021-11-07 12:00:00', 1444936),
(8, '2023-06-18 12:00:00', 1510032),
(15, '2022-11-08 12:00:00', 841535),
(16, '2021-04-26 12:00:00', 2454151),
(12, '2020-01-13 12:00:00', 1490810),
(12, '2024-10-02 12:00:00', 1479343),
(15, '2021-03-30 12:00:00', 1393339),
(8, '2024-02-10 12:00:00', 1171641),
(13, '2023-10-04 12:00:00', 981984),
(20, '2019-07-16 12:00:00', 1224709),
(19, '2024-06-12 12:00:00', 1272312),
(1, '2022-02-19 12:00:00', 2213703),
(13, '2021-10-14 12:00:00', 1039678),
(7, '2022-11-22 12:00:00', 1753133),
(18, '2022-07-06 12:00:00', 1969214),
(4, '2023-11-09 12:00:00', 584497),
(14, '2023-02-24 12:00:00', 520662),
(19, '2022-09-21 12:00:00', 1106754),
(8, '2024-06-20 12:00:00', 1773474),
(20, '2023-01-01 12:00:00', 2498951),
(18, '2024-12-17 12:00:00', 1255874),
(4, '2020-04-06 12:00:00', 1383304),
(20, '2020-11-13 12:00:00', 912649),
(19, '2021-06-22 12:00:00', 1913414),
(16, '2022-12-03 12:00:00', 1258383),
(19, '2022-05-10 12:00:00', 1086441),
(8, '2024-04-24 12:00:00', 2538852),
(9, '2024-04-04 12:00:00', 1604650),
(1, '2021-04-19 12:00:00', 1402044),
(12, '2021-02-11 12:00:00', 927309),
(4, '2019-10-06 12:00:00', 2073825),
(12, '2019-09-22 12:00:00', 500623),
(16, '2019-03-21 12:00:00', 844015),
(20, '2019-09-26 12:00:00', 1375213),
(15, '2019-10-02 12:00:00', 2771754),
(2, '2019-08-19 12:00:00', 1170675),
(20, '2020-03-20 12:00:00', 2451611),
(14, '2024-11-28 12:00:00', 2849598),
(18, '2024-12-22 12:00:00', 979769),
(1, '2019-09-19 12:00:00', 1725478),
(2, '2020-07-10 12:00:00', 1577921),
(20, '2022-06-04 12:00:00', 2730037),
(11, '2020-07-30 12:00:00', 2619954),
(3, '2024-04-28 12:00:00', 887431),
(11, '2019-04-16 12:00:00', 2596259),
(16, '2022-05-07 12:00:00', 1696209),
(10, '2021-11-12 12:00:00', 553430),
(12, '2024-09-24 12:00:00', 2453476),
(13, '2022-11-13 12:00:00', 1772915),
(16, '2019-04-23 12:00:00', 1449726),
(14, '2020-08-06 12:00:00', 2004863),
(9, '2022-06-12 12:00:00', 2028872),
(6, '2019-01-23 12:00:00', 1531561),
(4, '2022-08-06 12:00:00', 966451),
(14, '2021-01-06 12:00:00', 2840272),
(7, '2022-12-26 12:00:00', 2205477),
(19, '2023-07-19 12:00:00', 1609042),
(6, '2020-10-19 12:00:00', 2218188),
(13, '2020-02-11 12:00:00', 2982092),
(14, '2023-12-05 12:00:00', 1272581),
(14, '2020-04-12 12:00:00', 2754425),
(18, '2020-05-18 12:00:00', 2434685),
(5, '2020-11-25 12:00:00', 2084807),
(5, '2023-08-06 12:00:00', 1930798),
(6, '2020-06-25 12:00:00', 2365447),
(19, '2024-07-07 12:00:00', 721324),
(9, '2019-05-29 12:00:00', 2533099),
(9, '2021-12-22 12:00:00', 1250392),
(16, '2020-07-14 12:00:00', 1057945),
(13, '2021-11-18 12:00:00', 1627119),
(10, '2019-09-01 12:00:00', 2430122),
(5, '2019-04-07 12:00:00', 2529696),
(6, '2021-04-26 12:00:00', 2294183),
(8, '2024-02-22 12:00:00', 524981),
(20, '2024-08-08 12:00:00', 2400287),
(17, '2024-09-05 12:00:00', 1376098),
(3, '2020-08-24 12:00:00', 2678771),
(14, '2023-03-14 12:00:00', 2359674),
(15, '2023-07-19 12:00:00', 2016469),
(8, '2024-07-28 12:00:00', 1148823),
(6, '2024-11-10 12:00:00', 1129877),
(10, '2022-06-03 12:00:00', 2293659),
(4, '2022-08-04 12:00:00', 1821269),
(2, '2022-10-24 12:00:00', 817618),
(10, '2023-01-21 12:00:00', 1405047),
(13, '2024-09-29 12:00:00', 1954537),
(7, '2021-03-14 12:00:00', 2122777),
(17, '2021-09-22 12:00:00', 1788463),
(2, '2024-08-30 12:00:00', 651038),
(14, '2022-09-02 12:00:00', 2903827),
(6, '2021-07-21 12:00:00', 646105),
(6, '2022-09-24 12:00:00', 1717480),
(3, '2019-01-09 12:00:00', 1300869),
(7, '2020-03-06 12:00:00', 1232402),
(2, '2019-06-05 12:00:00', 1363934),
(13, '2023-02-14 12:00:00', 1310961),
(5, '2021-01-30 12:00:00', 2965146),
(15, '2024-10-22 12:00:00', 2848711),
(17, '2023-04-17 12:00:00', 2111034),
(14, '2021-12-11 12:00:00', 1418084),
(3, '2023-07-19 12:00:00', 1418315),
(19, '2019-09-19 12:00:00', 2776675),
(4, '2019-01-26 12:00:00', 872811),
(6, '2021-12-30 12:00:00', 1092818),
(18, '2020-06-08 12:00:00', 820201),
(20, '2023-10-20 12:00:00', 740833),
(20, '2021-02-11 12:00:00', 2000029),
(12, '2021-05-19 12:00:00', 2527416),
(5, '2020-05-14 12:00:00', 1858725),
(18, '2020-03-09 12:00:00', 2435058),
(13, '2019-03-30 12:00:00', 953475),
(3, '2021-02-15 12:00:00', 2021080),
(2, '2019-09-26 12:00:00', 2791502),
(16, '2020-05-07 12:00:00', 2306454),
(16, '2023-08-06 12:00:00', 1426787),
(20, '2024-04-03 12:00:00', 2459098),
(1, '2024-03-27 12:00:00', 2962516),
(8, '2020-04-06 12:00:00', 2771259),
(1, '2023-12-10 12:00:00', 2036904),
(13, '2021-01-14 12:00:00', 2616742),
(14, '2022-03-12 12:00:00', 1147661),
(16, '2021-07-15 12:00:00', 2079542),
(18, '2023-02-12 12:00:00', 2244061),
(17, '2021-04-04 12:00:00', 2678056),
(10, '2022-08-09 12:00:00', 2616862),
(5, '2022-01-03 12:00:00', 2044575),
(6, '2019-02-12 12:00:00', 1544082),
(12, '2019-07-16 12:00:00', 1972987),
(6, '2022-02-01 12:00:00', 1291342),
(3, '2023-12-12 12:00:00', 2257898),
(11, '2023-08-10 12:00:00', 2012966),
(7, '2021-07-16 12:00:00', 1894194),
(11, '2022-02-06 12:00:00', 865384),
(6, '2020-10-16 12:00:00', 2875876),
(3, '2022-06-13 12:00:00', 501783),
(5, '2019-08-29 12:00:00', 1047242),
(7, '2022-07-19 12:00:00', 1522417),
(17, '2020-08-30 12:00:00', 1019258),
(19, '2022-01-09 12:00:00', 1568414),
(7, '2020-05-25 12:00:00', 1637350),
(14, '2019-08-09 12:00:00', 2217811),
(10, '2021-09-28 12:00:00', 1270786),
(5, '2019-12-15 12:00:00', 1372820),
(8, '2019-02-03 12:00:00', 1175677),
(2, '2020-11-17 12:00:00', 1096563),
(17, '2023-11-09 12:00:00', 1781582),
(18, '2020-10-13 12:00:00', 974473),
(12, '2022-09-25 12:00:00', 1429405),
(17, '2024-03-04 12:00:00', 976202),
(14, '2021-11-07 12:00:00', 1533634),
(6, '2024-04-14 12:00:00', 2225169),
(20, '2021-09-16 12:00:00', 984589),
(18, '2022-08-24 12:00:00', 2356603),
(14, '2023-07-26 12:00:00', 649680),
(13, '2022-05-27 12:00:00', 1027164),
(9, '2020-04-18 12:00:00', 785813),
(17, '2022-08-17 12:00:00', 2507691),
(6, '2024-09-17 12:00:00', 1578083),
(3, '2021-05-28 12:00:00', 2625980),
(7, '2020-06-06 12:00:00', 1987862),
(6, '2024-07-03 12:00:00', 1667743),
(20, '2021-01-28 12:00:00', 1049981),
(16, '2023-10-25 12:00:00', 2276982),
(12, '2020-02-22 12:00:00', 1439077),
(11, '2023-10-23 12:00:00', 2629695),
(2, '2019-12-10 12:00:00', 2311553),
(16, '2019-08-03 12:00:00', 1340965),
(10, '2020-11-17 12:00:00', 2773152),
(2, '2024-08-30 12:00:00', 732310),
(1, '2024-10-09 12:00:00', 1632863),
(14, '2022-11-12 12:00:00', 2778970),
(20, '2023-09-26 12:00:00', 2310789),
(14, '2022-01-10 12:00:00', 1695310),
(15, '2019-03-04 12:00:00', 1326095),
(15, '2019-07-04 12:00:00', 2404522),
(19, '2019-02-02 12:00:00', 1825203),
(10, '2023-12-13 12:00:00', 932217),
(16, '2020-10-17 12:00:00', 2036516),
(20, '2022-11-09 12:00:00', 2801018),
(11, '2019-09-14 12:00:00', 594853),
(8, '2024-08-13 12:00:00', 1447536),
(19, '2021-11-16 12:00:00', 1396339),
(12, '2024-02-09 12:00:00', 730506),
(3, '2021-09-09 12:00:00', 2423422),
(11, '2022-04-05 12:00:00', 2580563),
(1, '2024-08-25 12:00:00', 2140200),
(11, '2022-09-06 12:00:00', 2733993),
(17, '2022-10-09 12:00:00', 2729623),
(14, '2021-06-05 12:00:00', 2835411),
(17, '2019-09-21 12:00:00', 2088045),
(12, '2023-09-13 12:00:00', 1672870),
(7, '2022-11-20 12:00:00', 525184),
(9, '2019-09-09 12:00:00', 872474),
(20, '2024-10-29 12:00:00', 2532179),
(18, '2022-09-01 12:00:00', 565561),
(10, '2021-10-26 12:00:00', 1135067),
(14, '2020-04-26 12:00:00', 2987966),
(15, '2020-02-11 12:00:00', 542457),
(3, '2020-08-01 12:00:00', 2098051),
(10, '2021-05-30 12:00:00', 2921876),
(8, '2023-01-21 12:00:00', 1360956),
(4, '2022-06-27 12:00:00', 1871650),
(19, '2019-04-02 12:00:00', 1751957),
(19, '2023-07-29 12:00:00', 2366880),
